title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Red Widow,2013,Pioneer Park at Coit Tower,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,CA,San Francisco,POINT (-122.4058782 37.8031199),3,2024-12-18T14:30:38.000,North Beach,-122.4058782,2024-12-06T12:17:47.000,37.8031199
Surface,2022,Market Street at 4th Street,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.405882 37.7857404),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.405882,2024-12-06T12:17:47.000,37.7857404
The OA Part II,2019,Cameron House - 920 Sacramento St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4084557 37.7932894),3,2024-12-18T14:30:38.000,Chinatown,-122.4084557,2024-12-06T12:17:47.000,37.7932894
Looking Season 2 ep 204,2015,"Dolores Park, San Francisco","Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4266135 37.7608223),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4266135,2024-12-06T12:17:47.000,37.7608223
Edtv,1999,Mario's Bohemian Cigar Store (Washington Square),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,CA,San Francisco,POINT (-122.4098155 37.8002479),3,2024-12-18T14:30:38.000,North Beach,-122.4098155,2024-12-06T12:17:47.000,37.8002479
Freebie and the Bean,1974,Hyatt Regency Hotel (5 Embarcadero Center),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.3956663 37.7942169),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3956663,2024-12-06T12:17:47.000,37.7942169
Experiment in Terror,1962,Roaring Twenties Nightclub (555 Broadway at Columbus),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,CA,San Francisco,POINT (-122.4058659 37.7976067),3,2024-12-18T14:30:38.000,North Beach,-122.4058659,2024-12-06T12:17:47.000,37.7976067
Etruscan Smile,2017,Jones @ Broadway,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4152084 37.7968006),3,2024-12-18T14:30:38.000,Nob Hill,-122.4152084,2024-12-06T12:17:47.000,37.7968006
The Maltese Falcon,1941,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Gladys George,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
DEVS,2020,Stevenson Alley btwn 6th and 7th St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4038308 37.7735356),6,2024-12-18T14:30:38.000,South of Market,-122.4038308,2024-12-06T12:17:47.000,37.7735356
Chance- Season 1 ep103,2016,Forrest Hill Muni Station,A Muni station agent played himself in this scene.,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4591718 37.7480485),7,2024-12-18T14:30:38.000,West of Twin Peaks,-122.4591718,2024-12-06T12:17:47.000,37.7480485
The Towering Inferno,1974,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,CA,San Francisco,POINT (-122.4133739 37.7918593),3,2024-12-18T14:30:38.000,Nob Hill,-122.4133739,2024-12-06T12:17:47.000,37.7918593
Time After Time,1979,Merchant Exchange (465 California Street at Leidesdorff),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4021715 37.792255),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4021715,2024-12-06T12:17:47.000,37.792255
The Woman In Red,1984,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,CA,San Francisco,POINT (-122.4327231 37.7760676),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4327231,2024-12-06T12:17:47.000,37.7760676
Boys and Girls,2000,1122 Folsom Street,,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4086985 37.7763832),6,2024-12-18T14:30:38.000,South of Market,-122.4086985,2024-12-06T12:17:47.000,37.7763832
Metro,1997,Bush Street at Jones,,Touchstone Pictures,Buena Vista Pictures,Thomas Carter,Randy Feldman,Eddie Murphy,,,CA,San Francisco,POINT (-122.4137459 37.7895412),3,2024-12-18T14:30:38.000,Nob Hill,-122.4137459,2024-12-06T12:17:47.000,37.7895412
Mona Lisa Smile,2003,,,Revolution Studios,Columbia Pictures,Mike Newell,Lawrence Konner,Julia Roberts,Kirsten Dunst,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
The Game,1997,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,CA,San Francisco,POINT (-122.401987 37.7888172),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.401987,2024-12-06T12:17:47.000,37.7888172
Terminator - Genisys,2015,Market St. at Embarcadero area,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.3961223 37.7935438),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3961223,2024-12-06T12:17:47.000,37.7935438
Surface,2022,Palace of Fine Arts,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4484231 37.8029308),2,2024-12-18T14:30:38.000,Marina,-122.4484231,2024-12-06T12:17:47.000,37.8029308
GirlBoss,2017,Filbert between Leavenworth and Hyde,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4191684 37.8000576),3,2024-12-18T14:30:38.000,Russian Hill,-122.4191684,2024-12-06T12:17:47.000,37.8000576
The Phone/Jexi,2019,1151 Montgomery St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.404402 37.7998462),3,2024-12-18T14:30:38.000,North Beach,-122.404402,2024-12-06T12:17:47.000,37.7998462
Burglar,1987,1400 18th Street,,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,CA,San Francisco,POINT (-122.3968391 37.7627149),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3968391,2024-12-06T12:17:47.000,37.7627149
Vegas in Space,1992,422 Oak Street at Laguna,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,CA,San Francisco,POINT (-122.426386 37.774738),5,2024-12-18T14:30:38.000,Hayes Valley,-122.426386,2024-12-06T12:17:47.000,37.774738
Sense8 - Season 2,2016,"Billy Goat Hill, Castro St. & 30th St.",This park was the location of a popular swing with great views of the City.,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.4331318 37.7413462),8,2024-12-18T14:30:38.000,Glen Park,-122.4331318,2024-12-06T12:17:47.000,37.7413462
Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,CA,San Francisco,POINT (-122.399849 37.7572605),10,2024-12-18T14:30:38.000,Potrero Hill,-122.399849,2024-12-06T12:17:47.000,37.7572605
Ant-Man and the Wasp,2018,Geary St - Hyde St - Ellis St,,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,CA,San Francisco,POINT (-122.4160976 37.7844584),5,2024-12-18T14:30:38.000,Tenderloin,-122.4160976,2024-12-06T12:17:47.000,37.7844584
Looking,2014,Valencia St. from 16th to 17th,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
The Last Black Man in San Francisco,2019,"Red Building, 2567 Mission St",,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4185349 37.7560308),9,2024-12-18T14:30:38.000,Mission,-122.4185349,2024-12-06T12:17:47.000,37.7560308
Alive,2020,Connecticut at 19th St,,CBS Corporation - CBS Studios Inc./CBS Television Studios,CBS,Uta Briesewitz,Jason Tracey,Ryan Phillippe,Mageina Tovah,Katrina Law,CA,San Francisco,POINT (-122.3973929 37.7612503),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3973929,2024-12-06T12:17:47.000,37.7612503
A Taiwanese Tale of Two Cities,2018,Bernal Heights Park,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4126216 37.7422467),9,2024-12-18T14:30:38.000,Bernal Heights,-122.4126216,2024-12-06T12:17:47.000,37.7422467
To the Ends of the Earth,1948,,,Kennedy-Buckman Pictures,Columbia Pictures,Robert Stevenson,Jay Richard Kennedy,Dick Powell,Signe Hasso,Maylia,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Chance- Season 1 ep103,2016,60 Potomac,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4324326 37.7701803),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.4324326,2024-12-06T12:17:47.000,37.7701803
Street Music,1981,,,Pacificon Films,Specialty Films,Jenny Bowen,Jenny Bowen,Elizabeth Daily,Larry Breeding,Ned Glass,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Sudden Impact,1983,"Pier 38-40, The Embarcadero",,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,CA,San Francisco,POINT (-122.3866361 37.7816903),6,2024-12-18T14:30:38.000,Mission Bay,-122.3866361,2024-12-06T12:17:47.000,37.7816903
Copycat,1995,Alta Plaza Park,The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,CA,San Francisco,POINT (-122.4377047 37.791209),2,2024-12-18T14:30:38.000,Pacific Heights,-122.4377047,2024-12-06T12:17:47.000,37.791209
Escape From Alcatraz,1979,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Paramount Pictures,Paramount Pictures,Donald Siegel,Richard Tuggle,Clint Eastwood,Patrick McGoohan,Robert Blossom,CA,San Francisco,POINT (-122.4230122 37.8266636),,2024-12-18T14:30:38.000,,-122.4230122,2024-12-06T12:17:47.000,37.8266636
Surface,2022,Fremont Street between 1st Street and 2nd vStreet,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Sweet November,2001,Mission Dolores Park (Mission District),"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,CA,San Francisco,POINT (-122.4266135 37.7608223),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4266135,2024-12-06T12:17:47.000,37.7608223
Sudden Fear,1952,2800 Scott Street,,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,CA,San Francisco,POINT (-122.4400341 37.7957588),2,2024-12-18T14:30:38.000,Marina,-122.4400341,2024-12-06T12:17:47.000,37.7957588
DEVS,2020,Dolores Park - Dolores at 20th St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4266135 37.7608223),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4266135,2024-12-06T12:17:47.000,37.7608223
Foul Play,1978,Montgomery & Pine Streets (Financial District),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4026072 37.7919161),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4026072,2024-12-06T12:17:47.000,37.7919161
The Matrix Resurrections,2021,Fremont at Mission,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.3967207 37.7904745),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3967207,2024-12-06T12:17:47.000,37.7904745
My Big Fat Chinese Christmas,2022,Grant Avenue between Sacramento and California,,Hongbao Productions,Hallmark Channel,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere,CA,San Francisco,POINT (-122.4064031 37.7934259),3,2024-12-18T14:30:38.000,Chinatown,-122.4064031,2024-12-06T12:17:47.000,37.7934259
Final Analysis,1992,"Presidio, Golden Gate National Recreation Area","In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,CA,San Francisco,POINT (-122.4810057 37.7923841),2,2024-12-18T14:30:38.000,Presidio,-122.4810057,2024-12-06T12:17:47.000,37.7923841
Looking Season 2 ep 209,2015,1246 Folsom Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.411015 37.7746),6,2024-12-18T14:30:38.000,South of Market,-122.411015,2024-12-06T12:17:47.000,37.7746
By Hook or By Crook,2001,"Department of Public Health (101 Grove Street at Polk, Civic Center)",,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,CA,San Francisco,POINT (-122.4184673 37.7782978),5,2024-12-18T14:30:38.000,Tenderloin,-122.4184673,2024-12-06T12:17:47.000,37.7782978
Looking Season 2 ep 209,2015,8 Octavia Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4232829 37.7722677),6,2024-12-18T14:30:38.000,Hayes Valley,-122.4232829,2024-12-06T12:17:47.000,37.7722677
Magnum Force,1973,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,CA,San Francisco,POINT (-122.3902572 37.7768525),6,2024-12-18T14:30:38.000,Mission Bay,-122.3902572,2024-12-06T12:17:47.000,37.7768525
"Murder in the First, Season 1",2014,Kearny Street between Broadway and Pacific Avenue,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.405222 37.79717),3,2024-12-18T14:30:38.000,North Beach,-122.405222,2024-12-06T12:17:47.000,37.79717
The OA Part II,2019,Pier 43,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4133446 37.8092691),3,2024-12-18T14:30:38.000,North Beach,-122.4133446,2024-12-06T12:17:47.000,37.8092691
"Murder in the First, Season 3",2016,Patricia's Green,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4243795 37.775961),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4243795,2024-12-06T12:17:47.000,37.775961
"Murder in the First, Season 2",2015,1059 Texas Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3946888 37.7530052),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3946888,2024-12-06T12:17:47.000,37.7530052
Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)",,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4150923 37.7781588),6,2024-12-18T14:30:38.000,South of Market,-122.4150923,2024-12-06T12:17:47.000,37.7781588
Burglar,1987,Green Valley Restaurant (510 Green Street Near Grant),,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,CA,San Francisco,POINT (-122.4076706 37.7998719),3,2024-12-18T14:30:38.000,North Beach,-122.4076706,2024-12-06T12:17:47.000,37.7998719
"Budding Prospects, Pilot",2017,3050 24th Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.4132118 37.7527686),9,2024-12-18T14:30:38.000,Mission,-122.4132118,2024-12-06T12:17:47.000,37.7527686
DEVS,2020,Balmy Alley,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4124936 37.7518067),9,2024-12-18T14:30:38.000,Mission,-122.4124936,2024-12-06T12:17:47.000,37.7518067
Sudden Impact,1983,"Near Point Lobos, El Camino Del Mar",,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,,CA,San Francisco,POINT (-122.5094898 37.779894),1,2024-12-18T14:30:38.000,Outer Richmond,-122.5094898,2024-12-06T12:17:47.000,37.779894
Need For Speed,2014,Mason St from Pine to Sacramento,,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Ant-Man and the Wasp,2018,490 Geary St,VFX Plate Shots,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,CA,San Francisco,POINT (-122.4113976 37.7871218),3,2024-12-18T14:30:38.000,Tenderloin,-122.4113976,2024-12-06T12:17:47.000,37.7871218
Terminator - Genisys,2015,1 Market St. Landmark Building,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.3948203 37.7941767),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3948203,2024-12-06T12:17:47.000,37.7941767
The Princess Diaries,2001,Firestation #3 (Brazil Avenue and Athens Street),,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.4316939 37.7163399),11,2024-12-18T14:30:38.000,Excelsior,-122.4316939,2024-12-06T12:17:47.000,37.7163399
The OA Part II,2019,Duncan St at Diamond Heights,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4434259 37.7466075),8,2024-12-18T14:30:38.000,Noe Valley,-122.4434259,2024-12-06T12:17:47.000,37.7466075
Sense8,2015,20th,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4116 37.7590974),9,2024-12-18T14:30:38.000,Mission,-122.4116,2024-12-06T12:17:47.000,37.7590974
Time After Time,1979,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4660947 37.7698646),7,2024-12-18T14:30:38.000,Golden Gate Park,-122.4660947,2024-12-06T12:17:47.000,37.7698646
Groove,2000,435 23rd Street at Illinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,,CA,San Francisco,POINT (-122.3845135 37.755198),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3845135,2024-12-06T12:17:47.000,37.755198
Golden Gate,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
